val,test,test_wb,test_nwb,Simulation Name,Model,Feature Selection,R^2
"{'mse': 0.785274281010795, 'r2': 0.21807306414604133, 'mae': 0.7058715303282735, 'mape': 4.015055954602919, 'pearson_r': 0.4669829377461679, 'spearman_r': 0.4514129264066933}","{'mse': 0.7744312282133303, 'r2': 0.21503187006823765, 'mae': 0.7017610797917309, 'mape': 3.257397742930936, 'pearson_r': 0.4638176733467907, 'spearman_r': 0.446831201123695}","{'mse': 0.7754381363437405, 'r2': 0.21787388294597865, 'mae': 0.701692902456716, 'mape': 3.1346905935415337, 'pearson_r': 0.4668170218838325, 'spearman_r': 0.45007479489766483}","{'mse': 0.7692012011519797, 'r2': 0.19910772642100938, 'mae': 0.7021152027711071, 'mape': 3.894756497464379, 'pearson_r': 0.4470046606664253, 'spearman_r': 0.4290363362662805}",mult_pheno_1,PRSice-2,PRSice,0.21503187006823765
"{'mse': 0.6866191062134374, 'r2': 0.3124318018228791, 'mae': 0.6603470054399613, 'mape': 5.226527603343583, 'pearson_r': 0.5589977771768755, 'spearman_r': 0.5424659581163407}","{'mse': 0.6711207834238603, 'r2': 0.3155383285609644, 'mae': 0.6558712816887481, 'mape': 2.672414412499285, 'pearson_r': 0.5618394217372689, 'spearman_r': 0.5399954899484091}","{'mse': 0.6726555953429066, 'r2': 0.3176869672105941, 'mae': 0.6568858240772144, 'mape': 2.7594927896794874, 'pearson_r': 0.563838148262876, 'spearman_r': 0.5417881756034486}","{'mse': 0.6631542911202665, 'r2': 0.30229562554937717, 'mae': 0.6506052656843846, 'mape': 2.220431200089403, 'pearson_r': 0.5510519479306437, 'spearman_r': 0.530207859741984}",mult_pheno_1,BASIL,BASIL,0.3155383285609644
"{'mse': 0.6834419020576651, 'r2': 0.31947136786107844, 'mae': 0.6592741596913005, 'mape': 4.783451419039387, 'pearson_r': 0.5653577449360879, 'spearman_r': 0.5451897207306265}","{'mse': 0.6715191601437792, 'r2': 0.3193441584638611, 'mae': 0.6548164299607597, 'mape': 3.550773315610735, 'pearson_r': 0.5651735956985589, 'spearman_r': 0.5440356831702178}","{'mse': 0.6724945817151696, 'r2': 0.32170530273791365, 'mae': 0.6551907810299781, 'mape': 3.0684992204175683, 'pearson_r': 0.5673114958416211, 'spearman_r': 0.5460394963158947}","{'mse': 0.6664526788427299, 'r2': 0.30608948557049576, 'mae': 0.6528719961407046, 'mape': 6.055775006103999, 'pearson_r': 0.5534518766810252, 'spearman_r': 0.5330084006579648}",mult_pheno_1,LGBM-Threshold,p-val + window,0.3193441584638611
"{'mse': 0.6850687901758081, 'r2': 0.31785141458875266, 'mae': 0.6601053728457593, 'mape': 4.8803721373540085, 'pearson_r': 0.5638744431924766, 'spearman_r': 0.5436714492340506}","{'mse': 0.6744065902054229, 'r2': 0.31641744206448974, 'mae': 0.6560352427648288, 'mape': 3.566546791903885, 'pearson_r': 0.5625210136308659, 'spearman_r': 0.5416322780659861}","{'mse': 0.6750121272158717, 'r2': 0.3191660439696318, 'mae': 0.6561115138870016, 'mape': 3.076534272565594, 'pearson_r': 0.5649955029043998, 'spearman_r': 0.5437812749547168}","{'mse': 0.6712613430317743, 'r2': 0.30108270452351615, 'mae': 0.6556390794795042, 'mape': 6.11174298124852, 'pearson_r': 0.5489935431279263, 'spearman_r': 0.5298518021964693}",mult_pheno_1,LGBM-PRSice,PRSice,0.31641744206448974
"{'mse': 0.6812766115895174, 'r2': 0.3216274284655506, 'mae': 0.6585049709000937, 'mape': 4.886209646006848, 'pearson_r': 0.5673571688547691, 'spearman_r': 0.5471986231281639}","{'mse': 0.6696370814319307, 'r2': 0.3212518447153989, 'mae': 0.6538018143927553, 'mape': 3.5217885994935276, 'pearson_r': 0.5669545642805414, 'spearman_r': 0.5456462545454813}","{'mse': 0.6707001373907752, 'r2': 0.32351522374376684, 'mae': 0.6542083657840938, 'mape': 3.048724397044519, 'pearson_r': 0.5690270893348655, 'spearman_r': 0.5475088477736596}","{'mse': 0.6641154143954137, 'r2': 0.3085230452612021, 'mae': 0.6516901274231964, 'mape': 5.978952769532496, 'pearson_r': 0.5556245340159666, 'spearman_r': 0.5353606504764662}",mult_pheno_1,LGBM-BASIL,BASIL,0.3212518447153989
